Work Order #,CE Work Order #,Installation,Facility Number,Facility Name,Room/Area,Request DateTime,Requesting Organization,Work Category,Trade,Priority Code,Problem Description,Requested Action,Mission Impact,Status,Assigned Shop,Actions Taken,Completion Date
USSPC-FAC-2026-0148,TRIRIGA-26-12148,Buckley SFB,312,Operations Annex 312,Mechanical Room,2026-02-10 0405Z,USSPACECOM J6,Urgent,HVAC,3,Excessive vibration noted on supply fan motor; bearing noise audible.,Inspect fan motor bearings and replace if worn.,Yes � impacts launch operations support systems.,Completed,CE HVAC,Inspected system per work order. Found dirty evaporator coil restricting airflow. Replaced communication card and restored BAS integration. Verified airflow and temperature within acceptable parameters. Documentation submitted.,2026-02-11
USSPC-FAC-2026-0149,TRIRIGA-26-12149,Peterson SFB,105,Communications Hub 105,HVAC Plenum,2026-02-10 0405Z,USSPACECOM J4,Emergency,Fire Protection,2,Clean agent suppression system showing low bottle pressure.,Recharge or replace clean agent suppression bottles.,Yes � affects classified processing environment.,Approved,CE Fire Protection,,
USSPC-FAC-2026-0150,TRIRIGA-26-12150,Peterson SFB,210,Operations Building 210,Ops Floor,2026-02-10 0435Z,USSPACECOM J3,Emergency,Electrical,1,PDU in server room reporting overload alarm on Phase B.,Investigate PDU overload and redistribute loads as needed.,Yes � loss of backup power to mission facilities.,In Progress,CE Electrical,,
USSPC-FAC-2026-0151,TRIRIGA-26-12151,Buckley SFB,180,Mission Support Facility 180,Restroom Corridor,2026-02-10 0620Z,USSPACECOM J3,Urgent,HVAC,3,Cooling unit shut down unexpectedly; room temperature rising steadily.,Restore HVAC operation and verify system stability.,Yes � impacts launch operations support systems.,In Progress,CE HVAC,,
USSPC-FAC-2026-0152,TRIRIGA-26-12152,Peterson SFB,105,Communications Hub 105,HVAC Plenum,2026-02-10 0730Z,USSPACECOM J6,Emergency,ESS,1,Motion sensor PIR detector degraded; detection range reduced.,Replace PIR motion sensor and verify detection coverage.,Yes � delayed access to mission operations spaces.,Completed,CE ESS,Responded and coordinated with security forces. Identified network cable fault to camera. Replaced lock solenoid and tested with valid credentials. Credentials tested at affected entry points; full functionality confirmed.,2026-02-12
USSPC-FAC-2026-0153,TRIRIGA-26-12153,Buckley SFB,180,Mission Support Facility 180,Mechanical Room,2026-02-10 0755Z,USSPACECOM J6,Routine,ESS,3,Access control panel communication fault; door status unknown.,Restore communication between access control panel and host.,Yes � degrades ground station equipment reliability.,Approved,CE ESS,,
USSPC-FAC-2026-0154,TRIRIGA-26-12154,Peterson SFB,210,Operations Building 210,Ops Floor,2026-02-10 0800Z,USSPACECOM J6,Emergency,Electrical,2,Intermittent power loss to operator consoles on ops floor.,Troubleshoot intermittent power issue and restore stable supply.,Yes � affects classified processing environment.,Approved,CE Electrical,,
USSPC-FAC-2026-0155,TRIRIGA-26-12155,Schriever SFB,400,Satellite Operations Facility 400,Ground Station Control Room,2026-02-10 0805Z,USSPACECOM J3,Emergency,ESS,2,Electronic lock on secure door not responding to valid credentials.,Replace electronic lock actuator and verify operation.,Yes � supports space domain awareness operations.,Completed,CE ESS,Technician inspected ESS components. Identified controller firmware communication error. Cleaned sensor lens and recalibrated detection zone. System tested end-to-end; all access points verified operational. Security notified of restoration.,2026-02-12
USSPC-FAC-2026-0156,TRIRIGA-26-12156,Peterson SFB,145,Operations Building 145,Restroom Corridor,2026-02-10 0840Z,USSPACECOM J6,Urgent,Power Production,3,Fuel transfer pump inoperative; unable to refill day tank.,Repair or replace fuel transfer pump.,Yes � affects classified processing environment.,In Progress,CE Power Production,,
USSPC-FAC-2026-0157,TRIRIGA-26-12157,Buckley SFB,312,Operations Annex 312,Electrical Room,2026-02-10 1625Z,USSPACECOM J2,Routine,HVAC,3,Ductwork insulation degraded in mechanical chase; condensation dripping onto ceiling tiles.,Replace degraded duct insulation and remediate moisture.,Potential � potential cascade failure if not addressed.,In Progress,CE HVAC,,
USSPC-FAC-2026-0158,TRIRIGA-26-12158,Vandenberg SFB,77,Secure Data Facility 77,Mechanical Room,2026-02-10 2150Z,USSPACECOM J6,Emergency,Plumbing,2,Floor drain backing up intermittently in mechanical room.,Clear floor drain blockage and verify flow.,Yes � mission-critical data processing environment.,Completed,CE Plumbing,Responded and isolated affected section. Identified failed pressure regulator. Replaced pressure regulator and set to 55 PSI. Flow verified at all fixtures. Area cleaned and restored.,2026-02-11
USSPC-FAC-2026-0159,TRIRIGA-26-12159,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-10 2235Z,USSPACECOM J2,Routine,Plumbing,3,Hot water temperature at fixtures below acceptable range; measured 94�F.,Diagnose hot water temperature issue and adjust or repair.,Yes � affects missile warning operations continuity.,Approved,CE Plumbing,,
USSPC-FAC-2026-0160,TRIRIGA-26-12160,Vandenberg SFB,51,Launch Operations Building 51,Control Room,2026-02-10 2305Z,USSPACECOM J3,Urgent,Power Production,3,Generator coolant temperature alarm during loaded run test.,Diagnose cooling system alarm and restore normal operation.,No � routine upkeep; no operational impact.,Submitted,CE Power Production,,
USSPC-FAC-2026-0161,TRIRIGA-26-12161,Schriever SFB,220,Mission Support Building 220,Corridor B,2026-02-11 0025Z,USSPACECOM J4,Preventive Maintenance,HVAC,4,Scheduled quarterly inspection of air handling units.,Clear condensate drain and inspect for root cause of overflow.,No � preventive maintenance.,Approved,CE HVAC,,
USSPC-FAC-2026-0162,TRIRIGA-26-12162,Peterson SFB,88,Data Processing Facility 88,Server Hall B,2026-02-11 0105Z,USSPACECOM J4,Routine,HVAC,4,Supply air temperature out of tolerance; measured 78�F against 72�F setpoint.,Diagnose and correct supply air temperature deviation.,No � preventive maintenance.,In Progress,CE HVAC,,
USSPC-FAC-2026-0163,TRIRIGA-26-12163,Buckley SFB,180,Mission Support Facility 180,Restroom Corridor,2026-02-11 0220Z,USSPACECOM J6,Emergency,ESS,1,Perimeter fence detection system reporting intermittent faults.,Troubleshoot perimeter detection system and restore monitoring.,Yes � delayed access to mission operations spaces.,Approved,CE ESS,,
USSPC-FAC-2026-0164,TRIRIGA-26-12164,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-11 0220Z,USSPACECOM J2,Urgent,Electrical,2,Intermittent power loss to operator consoles on ops floor.,Troubleshoot intermittent power issue and restore stable supply.,Yes � loss of backup power to mission facilities.,Completed,CE Electrical,Responded to work order. Found loose connection at breaker lug causing arcing. Redistributed loads and labeled circuits per NEC 408.4. Thermal scan confirmed normal temperatures. Completed per NEC requirements.,2026-02-13
USSPC-FAC-2026-0165,TRIRIGA-26-12165,Peterson SFB,42,Administrative Building 42,Janitor Closet,2026-02-11 0240Z,USSPACECOM J2,Routine,ESS,3,Motion sensor PIR detector degraded; detection range reduced.,Replace PIR motion sensor and verify detection coverage.,Yes � impacts launch operations support systems.,Approved,CE ESS,,
USSPC-FAC-2026-0166,TRIRIGA-26-12166,Schriever SFB,155,Operations Building 155,Watch Floor,2026-02-11 0340Z,USSPACECOM J4,Routine,Plumbing,4,Minor water leak observed on chilled water return line.,Repair leaking pipe section and verify system pressure.,No � personnel safety and usability concern.,Submitted,CE Plumbing,,
USSPC-FAC-2026-0167,TRIRIGA-26-12167,Schriever SFB,400,Satellite Operations Facility 400,Server Room,2026-02-11 0440Z,USSPACECOM J6,Urgent,Lighting,3,Emergency lighting battery unit failed self-test; no backup illumination.,Replace emergency lighting battery unit and test.,Potential � potential cascade failure if not addressed.,Approved,CE Lighting,,
USSPC-FAC-2026-0168,TRIRIGA-26-12168,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-11 0530Z,USSPACECOM J6,Urgent,HVAC,3,Condensate overflow detected at air handling unit; water pooling on mechanical room floor.,Clear condensate drain and inspect for root cause of overflow.,No � aesthetic/comfort issue only.,Approved,CE HVAC,,
USSPC-FAC-2026-0169,TRIRIGA-26-12169,Vandenberg SFB,134,Range Control Facility 134,Exterior HVAC Pad,2026-02-11 0550Z,USSPACECOM J3,Routine,HVAC,4,Supply air temperature out of tolerance; measured 80�F against 71�F setpoint.,Diagnose and correct supply air temperature deviation.,No � administrative area; no mission systems affected.,Submitted,CE HVAC,,
USSPC-FAC-2026-0170,TRIRIGA-26-12170,Buckley SFB,312,Operations Annex 312,Rooftop,2026-02-11 0625Z,USSPACECOM J3,Routine,Electrical,4,UPS system reporting degraded battery capacity; estimated runtime below threshold.,Test UPS batteries and replace degraded cells.,No � administrative area; no mission systems affected.,Approved,CE Electrical,,
USSPC-FAC-2026-0171,TRIRIGA-26-12171,Schriever SFB,400,Satellite Operations Facility 400,Mechanical Room,2026-02-11 0800Z,USSPACECOM J3,Urgent,Electrical,3,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,No � preventive maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0172,TRIRIGA-26-12172,Schriever SFB,220,Mission Support Building 220,Lobby,2026-02-11 0900Z,USSPACECOM J3,Emergency,HVAC,1,Ductwork insulation degraded in mechanical chase; condensation dripping onto ceiling tiles.,Replace degraded duct insulation and remediate moisture.,Yes � supports space domain awareness operations.,Approved,CE HVAC,,
USSPC-FAC-2026-0173,TRIRIGA-26-12173,Peterson SFB,210,Operations Building 210,SR-03 (Secure Server Room),2026-02-11 1455Z,USSPACECOM J2,Emergency,HVAC,1,Supply air temperature out of tolerance; measured 90�F against 72�F setpoint.,Diagnose and correct supply air temperature deviation.,Yes � loss of backup power to mission facilities.,In Progress,CE HVAC,,
USSPC-FAC-2026-0174,TRIRIGA-26-12174,Peterson SFB,105,Communications Hub 105,Ground Floor Lobby,2026-02-11 1610Z,USSPACECOM J4,Urgent,Fire Protection,3,Fire suppression control panel reporting system fault.,Inspect and restore fire suppression system functionality.,Yes � delayed access to mission operations spaces.,Approved,CE Fire Protection,,
USSPC-FAC-2026-0175,TRIRIGA-26-12175,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-11 1655Z,USSPACECOM J4,Routine,Structural,4,Raised floor panels loose near network racks.,Secure panels and ensure floor stability.,No � administrative area; no mission systems affected.,Completed,CE Structural,Technician assessed condition and documented findings. Found deteriorated roof membrane at flashing detail. Applied new sealant and verified weathertight condition. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-16
USSPC-FAC-2026-0176,TRIRIGA-26-12176,Schriever SFB,155,Operations Building 155,Mechanical Penthouse,2026-02-11 1700Z,USSPACECOM J6,Urgent,Electrical,3,Phase imbalance measured at 9% on main distribution panel.,Balance phase loading on main distribution panel.,Yes � affects classified processing environment.,Completed,CE Electrical,Technician de-energized and inspected per NFPA 70E. Discovered failed UPS battery cells in string 2. Replaced damaged conductor section and resealed conduit. System re-energized and tested under load; operating normally.,2026-02-13
USSPC-FAC-2026-0177,TRIRIGA-26-12177,Schriever SFB,302,Communications Facility 302,Equipment Room 2,2026-02-11 1745Z,USSPACECOM J4,Routine,Electrical,4,UPS system reporting degraded battery capacity; estimated runtime below threshold.,Test UPS batteries and replace degraded cells.,No � administrative area; no mission systems affected.,Approved,CE Electrical,,
USSPC-FAC-2026-0178,TRIRIGA-26-12178,Schriever SFB,155,Operations Building 155,Mechanical Penthouse,2026-02-11 1755Z,USSPACECOM J2,Emergency,Structural,2,Retaining wall showing lateral displacement; drainage weeps clogged.,Clear retaining wall weeps and assess lateral stability.,Yes � intermittent loss of operator consoles.,Completed,CE Structural,Technician assessed condition and documented findings. Discovered freeze-thaw damage to concrete surface. Patched spalled area with structural repair mortar. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-13
USSPC-FAC-2026-0179,TRIRIGA-26-12179,Schriever SFB,400,Satellite Operations Facility 400,Mechanical Room,2026-02-11 1830Z,USSPACECOM J2,Preventive Maintenance,HVAC,4,Annual filter replacement and coil cleaning for AHU-8 through AHU-5.,Perform seasonal changeover inspection and adjustments.,No � preventive maintenance.,Completed,CE HVAC,"Arrived on-site, isolated unit, and performed diagnostic. Identified refrigerant undercharge due to slow leak at service valve. Replaced capacitor and verified compressor amp draw within spec. Post-repair monitoring confirmed stable operation.",2026-02-22
USSPC-FAC-2026-0180,TRIRIGA-26-12180,Schriever SFB,220,Mission Support Building 220,Training Room,2026-02-11 1835Z,USSPACECOM J3,Urgent,Lighting,3,Exterior security lighting inoperative on building north side.,Repair exterior security lighting and verify coverage.,Yes � affects classified processing environment.,Approved,CE Lighting,,
USSPC-FAC-2026-0181,TRIRIGA-26-12181,Peterson SFB,88,Data Processing Facility 88,Chiller Plant,2026-02-11 1850Z,USSPACECOM J3,Urgent,HVAC,2,Cooling tower fan motor tripped on overload; condenser water temperature rising.,Repair cooling tower fan motor and test operation.,Yes � supports satellite uplink equipment.,In Progress,CE HVAC,,
USSPC-FAC-2026-0182,TRIRIGA-26-12182,Buckley SFB,180,Mission Support Facility 180,Electrical Room,2026-02-11 2030Z,USSPACECOM J4,Routine,HVAC,4,Ductwork insulation degraded in mechanical chase; condensation dripping onto ceiling tiles.,Replace degraded duct insulation and remediate moisture.,No � routine upkeep; no operational impact.,In Progress,CE HVAC,,
USSPC-FAC-2026-0183,TRIRIGA-26-12183,Vandenberg SFB,77,Secure Data Facility 77,Server Room B,2026-02-12 0135Z,USSPACECOM J2,Urgent,Structural,2,Roof membrane damage identified during routine walk-down; ponding water present.,Repair roof membrane and address ponding condition.,No � personnel safety concern.,Submitted,CE Structural,,
USSPC-FAC-2026-0184,TRIRIGA-26-12184,Schriever SFB,400,Satellite Operations Facility 400,Mechanical Room,2026-02-12 0720Z,USSPACECOM J2,Urgent,HVAC,3,Building automation system reporting communication loss with AHU-2 controller.,Restore BAS communication with AHU controller.,Potential � could impact mission systems if leak reaches equipment.,In Progress,CE HVAC,,
USSPC-FAC-2026-0185,TRIRIGA-26-12185,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-12 1200Z,USSPACECOM J6,Emergency,Plumbing,1,Hot water temperature at fixtures below acceptable range; measured 83�F.,Diagnose hot water temperature issue and adjust or repair.,Yes � intermittent loss of operator consoles.,Completed,CE Plumbing,Responded and isolated affected section. Found faulty mixing valve. Replaced mixing valve and set to 120�F output. Flow verified at all fixtures. Area cleaned and restored.,2026-02-12
USSPC-FAC-2026-0186,TRIRIGA-26-12186,Peterson SFB,198,Operations Building 198,Lobby,2026-02-12 1205Z,USSPACECOM J3,Routine,Fire Protection,4,Fire alarm pull station damaged at egress point; device non-functional.,Replace damaged fire alarm pull station.,Potential � could impact mission systems if leak reaches equipment.,Submitted,CE Fire Protection,,
USSPC-FAC-2026-0187,TRIRIGA-26-12187,Peterson SFB,88,Data Processing Facility 88,Server Hall A,2026-02-12 1215Z,USSPACECOM J2,Emergency,Structural,2,Raised floor panels loose near network racks.,Secure panels and ensure floor stability.,Yes � impacts launch operations support systems.,Completed,CE Structural,Technician assessed condition and documented findings. Identified worn hinge pins on door frame. Patched spalled area with structural repair mortar. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-12
USSPC-FAC-2026-0188,TRIRIGA-26-12188,Peterson SFB,3,Power Generation Facility 3,Transfer Switch Room,2026-02-12 1430Z,USSPACECOM J3,Routine,Structural,4,Expansion joint sealant deteriorated on exterior wall; gap visible.,Remove and replace expansion joint sealant.,No � routine upkeep; no operational impact.,Completed,CE Structural,Arrived on-site and performed structural assessment. Identified moisture intrusion through failed sealant. Patched spalled area with structural repair mortar. Condition stable; documented in facility records.,2026-02-16
USSPC-FAC-2026-0189,TRIRIGA-26-12189,Peterson SFB,145,Operations Building 145,Restroom Corridor,2026-02-12 1455Z,USSPACECOM J6,Preventive Maintenance,Power Production,4,Quarterly fuel sampling and polishing service.,Investigate capacity loss and perform corrective maintenance.,No � preventive maintenance.,Scheduled,CE Power Production,,
USSPC-FAC-2026-0190,TRIRIGA-26-12190,Peterson SFB,145,Operations Building 145,Mechanical Room,2026-02-12 1655Z,USSPACECOM J3,Routine,Structural,3,Expansion joint sealant deteriorated on exterior wall; gap visible.,Remove and replace expansion joint sealant.,Yes � intermittent loss of operator consoles.,In Progress,CE Structural,,
USSPC-FAC-2026-0191,TRIRIGA-26-12191,Vandenberg SFB,77,Secure Data Facility 77,Mechanical Room,2026-02-12 1710Z,USSPACECOM J3,Emergency,Fire Protection,2,Emergency exit sign non-illuminated in corridor section.,Replace emergency exit sign lamps and verify illumination.,Yes � supports satellite command and control systems.,Completed,CE Fire Protection,Responded and placed system in test mode. Found faulty smoke detector head. Replaced detector head and tested with canned smoke. Fire alarm panel cleared; all devices verified operational.,2026-02-14
USSPC-FAC-2026-0192,TRIRIGA-26-12192,Peterson SFB,88,Data Processing Facility 88,Receiving Area,2026-02-12 1720Z,USSPACECOM J3,Urgent,Fire Protection,2,Wet pipe sprinkler system showing signs of internal corrosion at test fitting.,Flush and test wet pipe sprinkler system.,Yes � intermittent loss of operator consoles.,Completed,CE Fire Protection,Technician inspected system per NFPA 72/25 requirements. Identified leaking sprinkler system check valve. Replaced detector head and tested with canned smoke. System placed back in service and tested. All zones normal.,2026-02-16
USSPC-FAC-2026-0193,TRIRIGA-26-12193,Vandenberg SFB,51,Launch Operations Building 51,Control Room,2026-02-12 2325Z,USSPACECOM J6,Routine,Fire Protection,4,Fire alarm pull station damaged at egress point; device non-functional.,Replace damaged fire alarm pull station.,No � personnel safety concern.,Completed,CE Fire Protection,Technician inspected system per NFPA 72/25 requirements. Found fire pump controller relay failure. Replaced pull station and tested alarm signal to panel. System placed back in service and tested. All zones normal.,2026-02-24
USSPC-FAC-2026-0194,TRIRIGA-26-12194,Peterson SFB,88,Data Processing Facility 88,Battery Room,2026-02-13 0000Z,USSPACECOM J2,Preventive Maintenance,Electrical,4,Preventive maintenance due on UPS battery string per manufacturer schedule.,Test and replace UPS batteries per maintenance schedule.,No � preventive maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0195,TRIRIGA-26-12195,Peterson SFB,145,Operations Building 145,Comm Closet,2026-02-13 0320Z,USSPACECOM J3,Emergency,HVAC,1,Return air temperature sensor reading erratic values; zone control degraded.,Replace return air temperature sensor and recalibrate.,Yes � supports satellite uplink equipment.,In Progress,CE HVAC,,
USSPC-FAC-2026-0196,TRIRIGA-26-12196,Buckley SFB,312,Operations Annex 312,Mechanical Room,2026-02-13 0435Z,USSPACECOM J3,Routine,ESS,4,Intercom system non-functional at entry control point.,Repair intercom system and test two-way communication.,No � aesthetic/comfort issue only.,Approved,CE ESS,,
USSPC-FAC-2026-0197,TRIRIGA-26-12197,Peterson SFB,105,Communications Hub 105,Antenna Equipment Room,2026-02-13 0510Z,USSPACECOM J4,Routine,Electrical,3,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,No � general facility maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0198,TRIRIGA-26-12198,Peterson SFB,88,Data Processing Facility 88,Electrical Vault,2026-02-13 0615Z,USSPACECOM J6,Routine,HVAC,3,Economizer damper stuck in closed position; outside air not being utilized.,Repair economizer damper actuator and verify operation.,Yes � degrades ground station equipment reliability.,In Progress,CE HVAC,,
USSPC-FAC-2026-0199,TRIRIGA-26-12199,Peterson SFB,88,Data Processing Facility 88,Server Hall B,2026-02-13 1220Z,USSPACECOM J3,Urgent,Power Production,3,Automatic transfer switch not sensing utility power loss correctly.,Troubleshoot ATS sensing circuit and restore proper operation.,Yes � impacts secure communications capability.,In Progress,CE Power Production,,
USSPC-FAC-2026-0200,TRIRIGA-26-12200,Peterson SFB,198,Operations Building 198,Loading Area,2026-02-13 1245Z,USSPACECOM J6,Preventive Maintenance,Plumbing,4,Scheduled backflow preventer testing and certification.,Inspect and repair T&P relief valve; verify operation.,No � preventive maintenance.,Completed,CE Plumbing,Responded and isolated affected section. Identified water hammer from quick-closing valve. Replaced mixing valve and set to 120�F output. Flow verified at all fixtures. Area cleaned and restored.,2026-02-27
